nrec,title,author,date,url
7,[新聞] ＂不打你 但要讓你撐不住＂美前防長點破習近平對台真正戰略,TonyKart,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781058936.A.5E8.html
7,[問卦] 為啥到國外就會生了,jack529,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781058980.A.E54.html
2,[新聞] 台積電、無人機商機變現 黃嫈珺拋「朴子,peterch,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781058987.A.CEA.html
,Re: [問卦] 少子化根本假議題 到底在哭啥,Zcould,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059052.A.A50.html
,[新聞] 國旅補助有望上路？ 陳世凱：預算過關後1,Aqqqa,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059063.A.A04.html
2,[問卦] 為什麼死忠會那麼死忠,NUMB43,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059092.A.87E.html
1,[問卦] 有沒想過台女只是不想跟台男生小孩而已,lawyer94,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059174.A.02F.html
,[問卦] 星宇新增的航點怎麼都跟華航一樣啊？,gigaman,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059180.A.4A9.html
1,Re: [新聞] 「外帶進摩鐵吃飯」瞎扯怕誤會 小王慘,oinmrr,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059192.A.113.html
,Re: [新聞] 烏克蘭收復「600平方公里」領土!燒掉普丁,caelum,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059283.A.971.html
,[新聞] 新青安2.0預計6月底公布！央行再祭信用,qweerrt123,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059327.A.808.html
,[問卦] 韓國拒絕與日本合作軍武板很氣？,a40494,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781059416.A.7DA.html
爆,[公告] 豐川祥子誕生日八卦板主徵選報名開始,ubcs,2/14,https://www.ptt.cc/bbs/Gossiping/M.1771040474.A.61B.html
